name|url
mono|https://www.dmm.co.jp/mono/dvd/-/list/=/rss=create/sort=p_date/
videoa|https://www.dmm.co.jp/digital/videoa/-/list/=/rss=create/sort=p_date/
rental|https://www.dmm.co.jp/rental/-/list/=/rss=create/sort=date/
videoa女優|https://www.dmm.co.jp/digital/videoa/-/list/=/article=vr/rss=create/sort=p_date/
GNews_無修正流出騒動|https://news.google.com/rss/search?q=%E7%84%A1%E4%BF%AE%E6%AD%A3%2B%E6%B5%81%E5%87%BA%2B%E9%A8%92%E5%8B%95&hl=ja&gl=JP&ceid=JP:ja
GNews_AV女優ヌード解禁|https://news.google.com/rss/search?q=AV%E5%A5%B3%E5%84%AA%2B%E3%83%8C%E3%83%BC%E3%83%89%2B%E8%A7%A3%E7%A6%81&hl=ja&gl=JP&ceid=JP:ja
GNews_FC2コンテンツ販売|https://news.google.com/rss/search?q=FC2%2B%E7%B4%A0%E4%BA%BA%2B%E8%B2%A9%E5%A3%B2&hl=ja&gl=JP&ceid=JP:ja
GNews_エロ動画配信トレンド|https://news.google.com/rss/search?q=%E3%82%A8%E3%83%AD%E5%8B%95%E7%94%BB%2B%E9%85%8D%E4%BF%A1%2B%E3%83%88%E3%83%AC%E3%83%B3%E3%83%89&hl=ja&gl=JP&ceid=JP:ja
GNews_MGS先行配信作品|https://news.google.com/rss/search?q=MGS%E5%8B%95%E7%94%BB%2B%E5%85%88%E8%A1%8C%2B%E9%85%8D%E4%BF%A1&hl=ja&gl=JP&ceid=JP:ja
GNews_企画単体女優裏話|https://news.google.com/rss/search?q=%E4%BC%81%E7%94%BB%E5%8D%98%E4%BD%93%2B%E5%A5%B3%E5%84%AA%2B%E8%A3%8F%E8%A9%B1&hl=ja&gl=JP&ceid=JP:ja
GNews_熟女人妻新作情報|https://news.google.com/rss/search?q=%E7%86%9F%E5%A5%B3%2B%E4%BA%BA%E5%A6%BB%2B%E6%96%B0%E4%BD%9C&hl=ja&gl=JP&ceid=JP:ja
GNews_巨乳爆乳トレンド|https://news.google.com/rss/search?q=%E5%B7%A8%E4%B9%B3%2B%E7%88%86%E4%B9%B3%2B%E4%BA%BA%E6%B0%97&hl=ja&gl=JP&ceid=JP:ja
GNews_美少女新人デビュー|https://news.google.com/rss/search?q=%E7%BE%8E%E5%B0%91%E5%A5%B3%2B%E6%96%B0%E4%BA%BA%2B%E3%83%87%E3%83%93%E3%83%A5%E3%83%BC&hl=ja&gl=JP&ceid=JP:ja
GNews_専属女優電撃移籍|https://news.google.com/rss/search?q=%E5%B0%82%E5%B1%9E%E5%A5%B3%E5%84%AA%2B%E7%A7%BB%E7%B1%8D%2B%E9%9B%BB%E6%92%83&hl=ja&gl=JP&ceid=JP:ja
GNews_地下アイドルAV転向|https://news.google.com/rss/search?q=%E5%9C%B0%E4%B8%8B%E3%82%A2%E3%82%A4%E3%83%89%E3%83%AB%2B%E8%BB%A2%E5%90%91%2B%E3%83%87%E3%83%93%E3%83%A5%E3%83%BC&hl=ja&gl=JP&ceid=JP:ja
GNews_パパ活女子実態|https://news.google.com/rss/search?q=%E3%83%91%E3%83%91%E6%B4%BB%2B%E5%A5%B3%E5%AD%90%2B%E5%AE%9F%E6%85%8B&hl=ja&gl=JP&ceid=JP:ja
GNews_裏ビデオ摘発速報|https://news.google.com/rss/search?q=%E8%A3%8F%E3%83%93%E3%83%87%E3%82%AA%2B%E6%91%98%E7%99%BA%2B%E9%80%AE%E6%8D%95&hl=ja&gl=JP&ceid=JP:ja
GNews_風俗嬢AVデビュー|https://news.google.com/rss/search?q=%E9%A2%A8%E4%BF%97%E5%AC%A2%2B%E3%83%87%E3%83%93%E3%83%A5%E3%83%BC%2B%E8%A9%B1%E9%A1%8C&hl=ja&gl=JP&ceid=JP:ja
GNews_有名女優濡れ場|https://news.google.com/rss/search?q=%E6%9C%89%E5%90%8D%E5%A5%B3%E5%84%AA%2B%E6%BF%A1%E3%82%8C%E5%A0%B4%2B%E3%82%B9%E3%82%AD%E3%83%A3%E3%83%B3%E3%83%80%E3%83%AB&hl=ja&gl=JP&ceid=JP:ja
GNews_ファンザ限定動画|https://news.google.com/rss/search?q=FANZA%2B%E9%99%90%E5%AE%9A%2B%E5%8B%95%E7%94%BB&hl=ja&gl=JP&ceid=JP:ja
GNews_アダルトVR最前線|https://news.google.com/rss/search?q=%E3%82%A2%E3%83%80%E3%83%AB%E3%83%88VR%2B%E6%9C%80%E6%96%B0%2B%E4%BD%93%E9%A8%93&hl=ja&gl=JP&ceid=JP:ja
GNews_AV新法影響動向|https://news.google.com/rss/search?q=AV%E6%96%B0%E6%B3%95%2B%E5%BD%B1%E9%9F%BF%2B%E7%8F%BE%E7%8A%B6&hl=ja&gl=JP&ceid=JP:ja
GNews_人気監督作品募集|https://news.google.com/rss/search?q=%E4%BA%BA%E6%B0%97%E7%9B%A3%E5%B3%A3%2B%E4%BD%9C%E5%93%81%2B%E5%8B%9F%E9%9B%86&hl=ja&gl=JP&ceid=JP:ja
GNews_アダルトエキスポ|https://news.google.com/rss/search?q=%E3%82%A2%E3%83%80%E3%83%AB%E3%83%88%E3%82%A8%E3%82%AD%E3%82%B9%E3%83%9D%2B%E3%82%B3%E3%83%B3%E3%83%91%E3%83%8B%E3%82%AA%E3%83%B3&hl=ja&gl=JP&ceid=JP:ja